Manufacturer,Product_Name,Category,Type,Source_URL,Scraped_Date
Carlisle,EPDM,Roofing,EPDM,https://www.carlislesyntec.com/en/Roofing-Products/Membranes/EPDM,2025-12-27
Carlisle,FleeceBACK,Roofing,Fleece,https://www.carlislesyntec.com/en/Roofing-Products/Membranes/FleeceBACK,2025-12-27
Carlisle,Flashings & Accessories,Roofing,Flashing,https://www.carlislesyntec.com/en/Roofing-Products/Other-Components/Flashings-and-Accessories,2025-12-27
Carlisle,Plates & Fasteners,Roofing,Fastener,https://www.carlislesyntec.com/en/Roofing-Products/Other-Components/Plates-and-Fasteners,2025-12-27
Carlisle,Insulation,Roofing,Insulation,https://www.carlislesyntec.com/en/Roofing-Products/Other-Components/Insulation,2025-12-27
Carlisle,"Adhesives, Primers, Sealants",Roofing,Adhesive,https://www.carlislesyntec.com/en/Roofing-Products/Other-Components/Adhesives-Primers-Sealants,2025-12-27
Carlisle,Coatings,Roofing,Coating,https://www.carlislesyntec.com/en/Roofing-Products/Other-Components/Coatings,2025-12-27
Carlisle,Air and Vapor Barriers,Roofing,Vapor,https://www.carlislesyntec.com/en/Roofing-Products/Other-Components/Air-and-Vapor-Barriers,2025-12-27
Carlisle,GeoMembrane,Roofing,Membrane,https://www.carlislesyntec.com/en/Roofing-Products/Specialty/GeoMembrane,2025-12-27
Johns Manville,Insulation Systems,Roofing,Insulation,https://www.jm.com/en/documents/?q=business=Insulation Systems,2025-12-27
Johns Manville,Home Insulation,Roofing,Insulation,https://www.jm.com/en/homeowner-insulation,2025-12-27
Johns Manville,Insulation Calculator,Roofing,Insulation,https://www.jm.com/content/jm/global/en/index/insulation-calculator,2025-12-27
Johns Manville,Building Insulation,Roofing,Insulation,https://www.jm.com/en/building-insulation/,2025-12-27
Johns Manville,Mechanical Insulation,Roofing,Insulation,https://www.jm.com/en/insulation-systems/mechanical-insulation/,2025-12-27
Johns Manville,OEM Insulation,Roofing,Insulation,https://www.jm.com/en/oem/,2025-12-27
Johns Manville,HVAC Insulation,Roofing,Insulation,https://www.jm.com/content/jm/global/en/index/insulation-systems/hvac-insulation,2025-12-27
Johns Manville,Industrial Insulation,Roofing,Insulation,https://www.jm.com/content/jm/global/en/index/industrial-insulation,2025-12-27
Johns Manville,Calcium Silicate Insulation,Roofing,Insulation,https://www.jm.com/content/jm/global/en/index/industrial-insulation/calcium-silicate,2025-12-27
Johns Manville,Polyisocyanurate Insulation,Roofing,Insulation,https://www.jm.com/content/jm/global/en/index/industrial-insulation/polyisocyanurate-insulation,2025-12-27
Johns Manville,Vapor Retarder,Roofing,Vapor,https://www.jm.com/content/jm/global/en/index/industrial-insulation/vapor-retarder,2025-12-27
Johns Manville,TPO Roofing Systems,Roofing,TPO,https://www.jm.com/en/commercial-roofing/tpo-roofing-systems/,2025-12-27
Johns Manville,PVC Roofing Systems,Roofing,PVC,https://www.jm.com/en/commercial-roofing/pvc-roofing-systems/,2025-12-27
Johns Manville,EPDM Roofing Systems,Roofing,EPDM,https://www.jm.com/en/commercial-roofing/epdm-roofing-systems/,2025-12-27
Johns Manville,Liquid Applied Roofing Systems,Roofing,Liquid Applied,https://www.jm.com/en/commercial-roofing/liquid-applied-roofing-systems/,2025-12-27
Johns Manville,Roofing Insulation and Cover Boards,Roofing,Insulation,https://www.jm.com/en/commercial-roofing/roofing-insulation-and-cover--boards/,2025-12-27
Johns Manville,"Adhesives, Cements, and Primers",Roofing,Adhesive,https://www.jm.com/en/commercial-roofing/jm-adhesives-cements-cleaners-primers-sealants/,2025-12-27
Johns Manville,Fasteners and Plates,Roofing,Fastener,https://www.jm.com/en/commercial-roofing/fasteners-and-plates/,2025-12-27
Johns Manville,"Specs, Flashing Details & Assembly Plates",Roofing,Flashing,https://www.jm.com/en/commercial-roofing/specs-and-details/,2025-12-27
Johns Manville,Mineral and Foam Insulation,Roofing,Insulation,https://www.jm.com/content/jm/global/en/index/nonwovens/fiberglass-mat-facers-for-mineral-and-foam-insulation,2025-12-27
Johns Manville,The Source - Insulation Intel,Roofing,Insulation,https://www.jm.com/en/building-insulation/building-insulation-intel-library/,2025-12-27
Johns Manville,Insulation Locator,Roofing,Insulation,https://www.jm.com/content/jm/global/en/index/insulation-locator/,2025-12-27
SOPREMA,SBS-Modified Bitumen,Roofing,Modified Bitumen,https://www.soprema.us/products/market-segment/roofing/sbs-modified-bitumen,2025-12-27
SOPREMA,Liquid Applied Materials,Roofing,Liquid Applied,https://www.soprema.us/products/market-segment/roofing/liquid-applied-materials,2025-12-27
SOPREMA,Protected Membranes,Roofing,Membrane,https://www.soprema.us/products/market-segment/protected-membranes,2025-12-27
SOPREMA,All Protected Membrane Products,Roofing,Membrane,https://www.soprema.us/products/market-segment/protected-membranes/all-protected-membrane-products,2025-12-27
SOPREMA,Membranes,Roofing,Membrane,https://www.soprema.us/products/market-segment/foundation-waterproofing/membranes,2025-12-27
SOPREMA,Fasteners,Roofing,Fastener,https://www.soprema.us/products/market-segment/foundation-waterproofing/fasteners,2025-12-27
SOPREMA,Air Barriers,Roofing,Barrier,https://www.soprema.us/products/market-segment/walls/air-barriers,2025-12-27
SOPREMA,Adhesives,Roofing,Adhesive,https://www.soprema.us/products/market-segment/retail/adhesives,2025-12-27
SOPREMA,Sealants,Roofing,Sealant,https://www.soprema.us/products/market-segment/retail/sealants,2025-12-27
Versico,VersiFleece,Roofing,Fleece,https://www.versico.com/en/Roofing-Products/Membranes/VersiFleece,2025-12-27
Versico,"Adhesives, Primers, & Sealants",Roofing,Adhesive,https://www.versico.com/en/Roofing-Products/Other-Components/Adhesives-Primers,2025-12-27
Versico,Wider is Better - 16-foot TPO,Roofing,TPO,https://www.versico.com/en/Roofing-Products/Membranes/TPO/16-Foot-TPO,2025-12-27
Duro-Last,Fleece Back,Roofing,Fleece,https://duro-last.com/fleece-back/,2025-12-27
Duro-Last,Coatings and Materials,Roofing,Coating,https://duro-last.com/duro-shield-coatings/,2025-12-27
Duro-Last,Duro-Last ® Membrane,Roofing,Membrane,https://duro-last.com/duro-last-membrane/,2025-12-27
Duro-Last,Duro-Fleece d ®,Roofing,Fleece,https://duro-last.com/duro-fleece/,2025-12-27
Duro-Last,Duro-Fleece Plus ®,Roofing,Fleece,https://duro-last.com/duro-fleece-plus/,2025-12-27
Duro-Last,Duro-Last ® EV Fleece,Roofing,Fleece,https://duro-last.com/ev-fleece/,2025-12-27
Duro-Last,Duro-Shield ® Coatings,Roofing,Coating,https://duro-last.com/coatings/,2025-12-27
Duro-Last,Duro-TECH™ TPO,Roofing,TPO,https://duro-last.com/duro-tech-tpo/,2025-12-27
Duro-Last,Duro-TECH™ Fleece TPO,Roofing,TPO,https://duro-last.com/duro-tech-tpo-fleece/,2025-12-27
Duro-Last,Cover Board,Roofing,Cover Board,https://duro-last.com/cover-board/,2025-12-27
Duro-Last,Vapor Barrier,Roofing,Vapor,https://duro-last.com/vapor-barrier/,2025-12-27
Duro-Last,Flashings and Accessories,Roofing,Flashing,https://duro-last.com/flashing-and-accessories/,2025-12-27
Duro-Last,Fasteners and Adhesives,Roofing,Fastener,https://duro-last.com/fasteners-adhesives/,2025-12-27
Mule-Hide,Acrylic Coatings,Roofing,Coating,https://www.mulehide.com/Products/c/AcrylicCoatings,2025-12-27
Mule-Hide,Base Coatings,Roofing,Coating,https://www.mulehide.com/Products/c/AcrylicCoatings#BaseCoatings,2025-12-27
Mule-Hide,Finish Coatings,Roofing,Coating,https://www.mulehide.com/Products/c/AcrylicCoatings#FinishCoatings,2025-12-27
Mule-Hide,Primers,Roofing,Primer,https://www.mulehide.com/Products/c/AcrylicCoatings#Primer,2025-12-27
Mule-Hide,Silicone Coatings,Roofing,Coating,https://www.mulehide.com/Products/c/SiliconeCoatings,2025-12-27
Mule-Hide,Asphalt Cements & Coatings,Roofing,Coating,https://www.mulehide.com/Products/c/AsphaltCementsCoatings,2025-12-27
Mule-Hide,Asphalt Coatings,Roofing,Coating,https://www.mulehide.com/Products/c/AsphaltCementsCoatings#AsphaltCoatings,2025-12-27
Mule-Hide,Fasteners & Termination,Roofing,Fastener,https://www.mulehide.com/Products/c/FastenersTermination,2025-12-27
Mule-Hide,Cover Boards & Insulation,Roofing,Insulation,https://www.mulehide.com/Products/c/CoverBoardsInsulation,2025-12-27
Mule-Hide,Cover Boards,Roofing,Cover Board,https://www.mulehide.com/Products/c/CoverBoardsInsulation#CoverBoards,2025-12-27
Mule-Hide,Underlayments & Vapor Barriers,Roofing,Vapor,https://www.mulehide.com/Products/c/UnderlaymentsVaporBarriers,2025-12-27
